,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,62,0.498,0.315,0.365,0.479,0.695,0.004,0.604,0.999,-0.003,-0.03,-0.289,0.396,0.315,0.001,0.996,0.014
LIPNet,63,0.498,0.315,0.365,0.479,0.695,0.005,0.681,0.999,-0.004,-0.038,-0.366,0.319,0.315,0.001,0.995,0.014
LIPNet,64,0.498,0.312,0.363,0.476,0.693,0.005,0.702,0.999,-0.004,-0.04,-0.389,0.298,0.313,0.001,0.995,0.014
LIPNet,65,0.498,0.318,0.368,0.482,0.698,0.004,0.648,0.999,-0.003,-0.033,-0.33,0.352,0.318,0.001,0.996,0.014
LIPNet,66,0.498,0.317,0.367,0.481,0.697,0.005,0.663,0.999,-0.004,-0.038,-0.346,0.337,0.317,0.001,0.995,0.014
LIPNet,67,0.498,0.315,0.366,0.48,0.696,0.005,0.599,0.999,-0.004,-0.03,-0.283,0.401,0.316,0.001,0.995,0.014
LIPNet,68,0.499,0.315,0.365,0.479,0.695,0.004,0.58,0.999,-0.003,-0.025,-0.265,0.42,0.315,0.001,0.996,0.014
LIPNet,69,0.498,0.317,0.368,0.482,0.698,0.005,0.7,0.999,-0.004,-0.039,-0.382,0.3,0.318,0.001,0.995,0.014
LIPNet,70,0.498,0.315,0.365,0.479,0.695,0.005,0.655,0.999,-0.004,-0.035,-0.34,0.345,0.315,0.001,0.995,0.014
LIPNet,71,0.498,0.316,0.367,0.481,0.697,0.004,0.616,0.999,-0.003,-0.031,-0.299,0.384,0.317,0.001,0.996,0.014
LIPNet,72,0.498,0.316,0.366,0.48,0.696,0.005,0.698,0.999,-0.004,-0.041,-0.382,0.302,0.316,0.001,0.995,0.014
LIPNet,73,0.498,0.31,0.361,0.474,0.691,0.005,0.674,0.999,-0.004,-0.037,-0.363,0.326,0.311,0.001,0.995,0.014
LIPNet,74,0.498,0.313,0.364,0.477,0.694,0.005,0.67,0.999,-0.004,-0.036,-0.356,0.33,0.314,0.001,0.995,0.014
LIPNet,75,0.498,0.316,0.366,0.48,0.696,0.005,0.676,0.999,-0.004,-0.036,-0.36,0.324,0.316,0.001,0.995,0.014
LIPNet,76,0.498,0.315,0.366,0.48,0.696,0.005,0.639,0.999,-0.004,-0.034,-0.323,0.361,0.316,0.001,0.995,0.014
LIPNet,77,0.498,0.313,0.363,0.476,0.693,0.005,0.643,0.999,-0.004,-0.035,-0.33,0.357,0.313,0.001,0.995,0.014
LIPNet,78,0.498,0.315,0.366,0.48,0.696,0.004,0.651,0.999,-0.003,-0.033,-0.335,0.349,0.316,0.001,0.996,0.014
LIPNet,79,0.498,0.315,0.366,0.48,0.696,0.005,0.642,0.999,-0.004,-0.034,-0.326,0.358,0.316,0.001,0.995,0.014
LIPNet,80,0.498,0.316,0.366,0.48,0.696,0.005,0.689,0.999,-0.004,-0.039,-0.373,0.311,0.316,0.001,0.995,0.014
LIPNet,81,0.498,0.314,0.364,0.477,0.694,0.005,0.662,0.999,-0.004,-0.036,-0.348,0.338,0.314,0.001,0.995,0.014
LIPNet,82,0.499,0.316,0.366,0.48,0.696,0.004,0.603,0.999,-0.003,-0.029,-0.287,0.397,0.316,0.001,0.996,0.014
LIPNet,83,0.498,0.316,0.367,0.481,0.697,0.005,0.669,0.999,-0.004,-0.038,-0.352,0.331,0.317,0.001,0.995,0.014
LIPNet,84,0.498,0.317,0.367,0.481,0.697,0.004,0.633,0.999,-0.003,-0.032,-0.316,0.367,0.317,0.001,0.996,0.014
LIPNet,85,0.498,0.317,0.367,0.481,0.697,0.005,0.627,0.999,-0.004,-0.032,-0.31,0.373,0.317,0.001,0.995,0.014
LIPNet,86,0.498,0.314,0.365,0.479,0.695,0.004,0.586,0.999,-0.003,-0.029,-0.271,0.414,0.315,0.001,0.996,0.014
LIPNet,87,0.499,0.318,0.368,0.482,0.698,0.004,0.612,0.999,-0.003,-0.03,-0.294,0.388,0.318,0.001,0.996,0.014
LIPNet,88,0.498,0.313,0.364,0.477,0.694,0.004,0.616,0.999,-0.003,-0.031,-0.302,0.384,0.314,0.001,0.996,0.014
LIPNet,89,0.498,0.316,0.366,0.48,0.696,0.005,0.687,0.999,-0.004,-0.037,-0.371,0.313,0.316,0.001,0.995,0.014
LIPNet,90,0.498,0.314,0.365,0.479,0.695,0.004,0.615,0.999,-0.003,-0.031,-0.3,0.385,0.315,0.001,0.996,0.014
LIPNet,91,0.498,0.316,0.366,0.48,0.696,0.005,0.633,0.999,-0.004,-0.033,-0.317,0.367,0.316,0.001,0.995,0.014
LIPNet,92,0.498,0.316,0.366,0.48,0.696,0.004,0.644,0.999,-0.003,-0.032,-0.328,0.356,0.316,0.001,0.996,0.014
LIPNet,93,0.498,0.314,0.364,0.477,0.694,0.005,0.643,0.999,-0.004,-0.033,-0.329,0.357,0.314,0.001,0.995,0.014
LIPNet,94,0.498,0.316,0.366,0.48,0.696,0.005,0.623,0.999,-0.004,-0.032,-0.307,0.377,0.316,0.001,0.995,0.014
LIPNet,95,0.498,0.316,0.366,0.48,0.696,0.006,0.724,0.999,-0.005,-0.044,-0.408,0.276,0.316,0.001,0.994,0.014
LIPNet,96,0.498,0.315,0.366,0.48,0.696,0.005,0.647,0.999,-0.004,-0.035,-0.331,0.353,0.316,0.001,0.995,0.014
LIPNet,97,0.499,0.318,0.369,0.483,0.699,0.004,0.601,0.999,-0.003,-0.028,-0.282,0.399,0.319,0.001,0.996,0.014
LIPNet,98,0.499,0.315,0.365,0.479,0.695,0.004,0.607,0.999,-0.003,-0.029,-0.292,0.393,0.315,0.001,0.996,0.014
LIPNet,99,0.498,0.316,0.367,0.481,0.697,0.005,0.685,0.999,-0.004,-0.037,-0.368,0.315,0.317,0.001,0.995,0.014
AlphaFold-rsa,0,0.89,0.752,0.879,0.858,0.838,0.175,0.078,0.045,0.78,0.798,0.816,0.922,0.894,0.955,0.825,0.551
AlphaFold-rsa,1,0.888,0.748,0.878,0.856,0.835,0.179,0.08,0.045,0.776,0.794,0.814,0.92,0.894,0.955,0.821,0.551
AlphaFold-rsa,2,0.891,0.754,0.88,0.859,0.84,0.173,0.077,0.045,0.782,0.8,0.817,0.923,0.894,0.955,0.827,0.551
AlphaFold-rsa,3,0.888,0.748,0.878,0.856,0.835,0.178,0.079,0.045,0.777,0.795,0.814,0.921,0.893,0.955,0.822,0.551
AlphaFold-rsa,4,0.888,0.749,0.877,0.856,0.836,0.177,0.079,0.046,0.777,0.795,0.813,0.921,0.892,0.954,0.823,0.551
AlphaFold-rsa,5,0.888,0.748,0.878,0.856,0.835,0.179,0.08,0.045,0.776,0.794,0.814,0.92,0.894,0.955,0.821,0.551
AlphaFold-rsa,6,0.89,0.751,0.877,0.858,0.839,0.173,0.076,0.046,0.781,0.798,0.815,0.924,0.891,0.954,0.827,0.551
AlphaFold-rsa,7,0.888,0.75,0.879,0.856,0.835,0.178,0.08,0.045,0.777,0.796,0.814,0.92,0.894,0.955,0.822,0.551
AlphaFold-rsa,8,0.891,0.754,0.881,0.86,0.839,0.174,0.077,0.044,0.782,0.8,0.819,0.923,0.896,0.956,0.826,0.551
AlphaFold-rsa,9,0.888,0.748,0.878,0.856,0.835,0.179,0.08,0.045,0.776,0.795,0.814,0.92,0.894,0.955,0.821,0.551
AlphaFold-rsa,10,0.889,0.749,0.876,0.856,0.837,0.175,0.078,0.047,0.778,0.795,0.812,0.922,0.89,0.953,0.825,0.551
AlphaFold-rsa,11,0.888,0.749,0.878,0.856,0.835,0.179,0.08,0.045,0.776,0.795,0.814,0.92,0.894,0.955,0.821,0.551
AlphaFold-rsa,12,0.887,0.746,0.876,0.855,0.834,0.179,0.08,0.046,0.775,0.793,0.811,0.92,0.891,0.954,0.821,0.551
AlphaFold-rsa,13,0.889,0.751,0.878,0.858,0.838,0.174,0.08,0.047,0.779,0.795,0.812,0.92,0.892,0.953,0.826,0.551
AlphaFold-rsa,14,0.891,0.753,0.879,0.86,0.841,0.171,0.077,0.046,0.783,0.799,0.816,0.923,0.893,0.954,0.829,0.551
AlphaFold-rsa,15,0.891,0.755,0.882,0.861,0.84,0.173,0.078,0.044,0.783,0.801,0.819,0.922,0.897,0.956,0.827,0.551
AlphaFold-rsa,16,0.891,0.753,0.88,0.859,0.84,0.173,0.077,0.046,0.781,0.799,0.817,0.923,0.894,0.954,0.827,0.551
AlphaFold-rsa,17,0.89,0.752,0.88,0.858,0.837,0.176,0.078,0.044,0.78,0.799,0.817,0.922,0.895,0.956,0.824,0.551
AlphaFold-rsa,18,0.889,0.75,0.879,0.857,0.836,0.177,0.079,0.045,0.778,0.796,0.815,0.921,0.894,0.955,0.823,0.551
AlphaFold-rsa,19,0.888,0.746,0.876,0.855,0.835,0.178,0.079,0.046,0.776,0.793,0.811,0.921,0.89,0.954,0.822,0.551
AlphaFold-rsa,20,0.89,0.751,0.879,0.858,0.838,0.175,0.079,0.046,0.779,0.797,0.815,0.921,0.894,0.954,0.825,0.551
AlphaFold-rsa,21,0.887,0.747,0.877,0.855,0.834,0.179,0.081,0.047,0.774,0.792,0.811,0.919,0.892,0.953,0.821,0.551
AlphaFold-rsa,22,0.89,0.752,0.879,0.858,0.838,0.175,0.079,0.045,0.78,0.797,0.815,0.921,0.894,0.955,0.825,0.551
AlphaFold-rsa,23,0.89,0.751,0.878,0.857,0.838,0.175,0.078,0.046,0.779,0.797,0.814,0.922,0.892,0.954,0.825,0.551
AlphaFold-rsa,24,0.89,0.751,0.88,0.858,0.837,0.177,0.079,0.044,0.779,0.798,0.817,0.921,0.896,0.956,0.823,0.551
AlphaFold-rsa,25,0.89,0.751,0.879,0.858,0.838,0.175,0.078,0.045,0.78,0.798,0.816,0.922,0.894,0.955,0.825,0.551
AlphaFold-rsa,26,0.889,0.75,0.879,0.857,0.836,0.178,0.08,0.045,0.777,0.796,0.815,0.92,0.895,0.955,0.822,0.551
AlphaFold-rsa,27,0.889,0.751,0.88,0.857,0.836,0.177,0.079,0.045,0.778,0.797,0.816,0.921,0.895,0.955,0.823,0.551
AlphaFold-rsa,28,0.891,0.754,0.88,0.86,0.84,0.172,0.077,0.046,0.782,0.799,0.817,0.923,0.894,0.954,0.828,0.551
AlphaFold-rsa,29,0.89,0.752,0.878,0.858,0.839,0.173,0.078,0.046,0.781,0.797,0.814,0.922,0.892,0.954,0.827,0.551
