,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,74,0.528,0.258,0.365,0.41,0.468,0.484,0.292,0.461,0.055,0.052,0.048,0.708,0.34,0.539,0.516,0.5
LIPNet,75,0.527,0.257,0.366,0.409,0.464,0.49,0.295,0.455,0.055,0.051,0.047,0.705,0.342,0.545,0.51,0.5
LIPNet,76,0.527,0.257,0.365,0.409,0.464,0.49,0.294,0.456,0.054,0.05,0.047,0.706,0.341,0.544,0.51,0.5
LIPNet,77,0.53,0.259,0.366,0.412,0.47,0.481,0.289,0.459,0.06,0.056,0.052,0.711,0.341,0.541,0.519,0.5
LIPNet,78,0.529,0.26,0.368,0.412,0.469,0.484,0.293,0.458,0.058,0.054,0.05,0.707,0.343,0.542,0.516,0.5
LIPNet,79,0.526,0.257,0.365,0.409,0.466,0.486,0.295,0.463,0.051,0.048,0.045,0.705,0.34,0.537,0.514,0.5
LIPNet,80,0.527,0.258,0.366,0.41,0.466,0.488,0.294,0.457,0.055,0.051,0.048,0.706,0.342,0.543,0.512,0.5
LIPNet,81,0.526,0.256,0.363,0.407,0.464,0.489,0.294,0.46,0.051,0.048,0.044,0.706,0.338,0.54,0.511,0.5
LIPNet,82,0.525,0.256,0.364,0.408,0.463,0.491,0.296,0.459,0.05,0.047,0.044,0.704,0.34,0.541,0.509,0.5
LIPNet,83,0.526,0.258,0.366,0.41,0.466,0.488,0.296,0.459,0.053,0.049,0.046,0.704,0.342,0.541,0.512,0.5
LIPNet,84,0.524,0.256,0.364,0.408,0.464,0.49,0.297,0.461,0.049,0.046,0.043,0.703,0.34,0.539,0.51,0.5
LIPNet,85,0.526,0.258,0.366,0.41,0.466,0.487,0.296,0.462,0.051,0.048,0.045,0.704,0.341,0.538,0.513,0.5
LIPNet,86,0.527,0.257,0.365,0.41,0.467,0.485,0.293,0.461,0.054,0.05,0.047,0.707,0.34,0.539,0.515,0.5
LIPNet,87,0.526,0.258,0.367,0.41,0.465,0.49,0.297,0.458,0.052,0.049,0.046,0.703,0.343,0.542,0.51,0.5
LIPNet,88,0.524,0.254,0.361,0.406,0.462,0.491,0.294,0.46,0.049,0.045,0.043,0.706,0.337,0.54,0.509,0.5
LIPNet,89,0.527,0.258,0.366,0.41,0.465,0.489,0.295,0.457,0.054,0.051,0.047,0.705,0.342,0.543,0.511,0.5
LIPNet,90,0.526,0.256,0.363,0.407,0.463,0.49,0.294,0.458,0.052,0.049,0.045,0.706,0.339,0.542,0.51,0.5
LIPNet,91,0.527,0.258,0.366,0.41,0.466,0.488,0.294,0.457,0.055,0.051,0.048,0.706,0.342,0.543,0.512,0.5
LIPNet,92,0.525,0.256,0.364,0.408,0.464,0.49,0.296,0.459,0.051,0.047,0.044,0.704,0.34,0.541,0.51,0.5
LIPNet,93,0.526,0.256,0.363,0.408,0.464,0.489,0.293,0.458,0.053,0.049,0.046,0.707,0.339,0.542,0.511,0.5
LIPNet,94,0.529,0.259,0.368,0.412,0.467,0.487,0.293,0.456,0.057,0.054,0.051,0.707,0.344,0.544,0.513,0.5
LIPNet,95,0.524,0.256,0.363,0.408,0.464,0.489,0.297,0.463,0.048,0.044,0.042,0.703,0.339,0.537,0.511,0.5
LIPNet,96,0.527,0.258,0.365,0.41,0.468,0.484,0.294,0.463,0.053,0.049,0.046,0.706,0.34,0.537,0.516,0.5
LIPNet,97,0.531,0.263,0.373,0.417,0.473,0.481,0.293,0.456,0.063,0.058,0.055,0.707,0.348,0.544,0.519,0.5
LIPNet,98,0.529,0.259,0.367,0.411,0.467,0.486,0.292,0.456,0.058,0.054,0.051,0.708,0.343,0.544,0.514,0.5
LIPNet,99,0.528,0.259,0.366,0.41,0.466,0.487,0.295,0.458,0.055,0.051,0.047,0.705,0.342,0.542,0.513,0.5
AlphaFold-rsa,0,0.894,0.743,0.848,0.853,0.858,0.138,0.065,0.074,0.788,0.783,0.779,0.935,0.844,0.926,0.862,0.5
AlphaFold-rsa,1,0.892,0.741,0.846,0.851,0.856,0.141,0.066,0.075,0.784,0.781,0.777,0.934,0.843,0.925,0.859,0.5
AlphaFold-rsa,2,0.897,0.749,0.851,0.856,0.862,0.134,0.062,0.072,0.794,0.79,0.785,0.938,0.847,0.928,0.866,0.5
AlphaFold-rsa,3,0.893,0.741,0.847,0.852,0.857,0.139,0.065,0.074,0.787,0.782,0.778,0.935,0.843,0.926,0.861,0.5
AlphaFold-rsa,4,0.892,0.74,0.846,0.851,0.856,0.141,0.066,0.075,0.784,0.78,0.777,0.934,0.843,0.925,0.859,0.5
