predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
auc,0.526,0.526,0.95,0.95,0.899,0.899
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.802,0.192,0.268,0.004,0.486,0.013,0.544
0.801,0.193,0.269,0.004,0.487,0.013,0.546
0.8,0.194,0.27,0.004,0.489,0.014,0.547
0.799,0.195,0.271,0.004,0.49,0.014,0.549
0.798,0.196,0.272,0.004,0.492,0.014,0.55
0.797,0.196,0.273,0.004,0.494,0.014,0.552
0.796,0.197,0.273,0.004,0.496,0.015,0.553
0.795,0.198,0.274,0.004,0.497,0.015,0.555
0.794,0.199,0.275,0.004,0.499,0.015,0.557
0.793,0.2,0.276,0.005,0.501,0.015,0.559
0.792,0.201,0.277,0.005,0.502,0.016,0.56
0.791,0.202,0.278,0.005,0.504,0.016,0.562
0.79,0.203,0.279,0.005,0.505,0.016,0.563
0.789,0.204,0.28,0.005,0.507,0.016,0.565
0.788,0.205,0.281,0.005,0.509,0.017,0.567
0.787,0.206,0.282,0.005,0.51,0.017,0.569
0.786,0.207,0.283,0.005,0.512,0.017,0.57
0.785,0.208,0.284,0.005,0.513,0.017,0.572
0.784,0.209,0.284,0.005,0.515,0.018,0.573
0.783,0.21,0.285,0.005,0.516,0.018,0.575
0.782,0.21,0.286,0.005,0.518,0.018,0.577
0.781,0.211,0.287,0.005,0.52,0.018,0.578
0.78,0.212,0.288,0.005,0.521,0.019,0.58
0.779,0.213,0.288,0.005,0.523,0.019,0.581
0.778,0.214,0.289,0.005,0.524,0.019,0.582
0.777,0.215,0.291,0.005,0.526,0.019,0.584
0.776,0.216,0.291,0.005,0.528,0.02,0.586
0.775,0.217,0.292,0.005,0.53,0.02,0.587
0.774,0.217,0.293,0.005,0.532,0.02,0.589
0.773,0.218,0.294,0.005,0.533,0.02,0.59
0.772,0.219,0.295,0.005,0.535,0.021,0.592
0.771,0.22,0.296,0.005,0.537,0.021,0.594
0.77,0.221,0.297,0.005,0.538,0.021,0.595
0.769,0.222,0.298,0.005,0.54,0.021,0.596
0.768,0.222,0.299,0.006,0.541,0.022,0.598
0.767,0.223,0.3,0.006,0.542,0.022,0.599
0.766,0.224,0.3,0.006,0.544,0.022,0.6
0.765,0.225,0.301,0.006,0.546,0.023,0.602
0.764,0.226,0.303,0.006,0.548,0.023,0.604
0.763,0.227,0.304,0.006,0.549,0.024,0.605
0.762,0.228,0.304,0.006,0.551,0.024,0.607
0.761,0.229,0.305,0.006,0.552,0.024,0.608
0.76,0.23,0.306,0.006,0.554,0.024,0.609
0.759,0.23,0.307,0.006,0.555,0.025,0.611
0.758,0.231,0.308,0.006,0.557,0.025,0.612
0.757,0.232,0.309,0.006,0.559,0.025,0.613
0.756,0.233,0.309,0.006,0.561,0.026,0.615
0.755,0.234,0.31,0.006,0.562,0.026,0.616
0.754,0.235,0.311,0.006,0.563,0.026,0.617
0.753,0.236,0.312,0.006,0.565,0.026,0.618
0.752,0.237,0.314,0.006,0.566,0.027,0.62
0.751,0.238,0.314,0.006,0.568,0.027,0.621
0.75,0.238,0.315,0.006,0.569,0.027,0.622
0.749,0.239,0.316,0.006,0.57,0.028,0.623
0.748,0.24,0.317,0.007,0.571,0.028,0.624
0.747,0.241,0.318,0.007,0.572,0.028,0.626
0.746,0.242,0.318,0.007,0.574,0.029,0.627
0.745,0.243,0.319,0.007,0.575,0.029,0.629
0.744,0.244,0.32,0.007,0.577,0.029,0.63
0.743,0.245,0.321,0.007,0.578,0.029,0.632
0.742,0.245,0.322,0.007,0.58,0.03,0.633
0.741,0.246,0.323,0.007,0.581,0.03,0.634
0.74,0.247,0.323,0.007,0.582,0.031,0.636
0.739,0.248,0.324,0.007,0.584,0.031,0.637
0.738,0.249,0.325,0.007,0.585,0.031,0.638
0.737,0.25,0.326,0.007,0.587,0.031,0.639
0.736,0.251,0.327,0.007,0.588,0.032,0.64
0.735,0.251,0.327,0.007,0.59,0.032,0.641
0.734,0.252,0.328,0.007,0.591,0.033,0.642
0.733,0.253,0.329,0.007,0.592,0.033,0.644
0.732,0.254,0.33,0.007,0.593,0.033,0.645
0.731,0.255,0.331,0.007,0.595,0.033,0.646
0.73,0.256,0.332,0.008,0.596,0.034,0.647
0.729,0.257,0.333,0.008,0.597,0.034,0.648
0.728,0.257,0.333,0.008,0.598,0.034,0.649
0.727,0.258,0.334,0.008,0.599,0.035,0.651
0.726,0.259,0.335,0.008,0.6,0.035,0.652
0.725,0.26,0.336,0.008,0.601,0.035,0.653
0.724,0.261,0.337,0.008,0.603,0.036,0.654
0.723,0.262,0.337,0.008,0.604,0.036,0.655
0.722,0.263,0.338,0.008,0.605,0.036,0.656
0.721,0.263,0.339,0.008,0.607,0.037,0.657
0.72,0.264,0.34,0.008,0.608,0.037,0.658
0.719,0.265,0.341,0.008,0.609,0.038,0.659
0.718,0.266,0.342,0.008,0.61,0.038,0.66
0.717,0.266,0.343,0.008,0.612,0.039,0.661
0.716,0.267,0.344,0.009,0.613,0.039,0.662
0.715,0.268,0.345,0.009,0.615,0.039,0.663
0.714,0.269,0.345,0.009,0.616,0.04,0.664
0.713,0.27,0.346,0.009,0.617,0.04,0.665
0.712,0.271,0.347,0.009,0.619,0.041,0.666
0.711,0.272,0.348,0.009,0.621,0.041,0.667
0.71,0.272,0.349,0.009,0.622,0.042,0.668
0.709,0.273,0.349,0.009,0.623,0.042,0.669
0.708,0.274,0.351,0.009,0.625,0.043,0.67
0.707,0.275,0.351,0.009,0.626,0.043,0.67
0.706,0.276,0.352,0.009,0.627,0.044,0.671
0.705,0.277,0.352,0.009,0.628,0.044,0.672
0.704,0.278,0.353,0.009,0.63,0.044,0.673
0.703,0.279,0.354,0.009,0.631,0.045,0.674
0.702,0.279,0.355,0.01,0.633,0.045,0.675
0.701,0.28,0.355,0.01,0.634,0.046,0.676
0.7,0.281,0.356,0.01,0.635,0.046,0.677
0.699,0.282,0.357,0.01,0.636,0.046,0.678
0.698,0.283,0.357,0.01,0.638,0.047,0.679
0.697,0.284,0.358,0.01,0.639,0.047,0.68
0.696,0.285,0.359,0.01,0.641,0.048,0.681
0.695,0.286,0.36,0.01,0.642,0.048,0.682
0.694,0.287,0.361,0.011,0.644,0.049,0.683
0.693,0.288,0.362,0.011,0.645,0.049,0.684
0.692,0.288,0.362,0.011,0.646,0.05,0.685
0.691,0.29,0.363,0.011,0.647,0.05,0.686
0.69,0.29,0.364,0.011,0.648,0.051,0.686
0.689,0.291,0.365,0.011,0.65,0.051,0.687
0.688,0.292,0.365,0.011,0.651,0.052,0.688
0.687,0.293,0.366,0.011,0.652,0.052,0.689
0.686,0.294,0.367,0.012,0.654,0.053,0.69
0.685,0.294,0.368,0.012,0.655,0.053,0.69
0.684,0.295,0.368,0.012,0.656,0.054,0.691
0.683,0.296,0.369,0.012,0.658,0.054,0.692
0.682,0.297,0.37,0.012,0.66,0.055,0.693
0.681,0.298,0.371,0.012,0.661,0.055,0.694
0.68,0.299,0.371,0.012,0.662,0.056,0.694
0.679,0.299,0.372,0.012,0.663,0.056,0.695
0.678,0.3,0.373,0.012,0.665,0.057,0.696
0.677,0.301,0.374,0.013,0.666,0.057,0.697
0.676,0.302,0.374,0.013,0.667,0.058,0.698
0.675,0.303,0.375,0.013,0.668,0.059,0.699
0.674,0.304,0.376,0.013,0.67,0.059,0.699
0.673,0.304,0.376,0.013,0.671,0.06,0.7
0.672,0.305,0.377,0.013,0.672,0.06,0.701
0.671,0.306,0.378,0.014,0.673,0.061,0.702
0.67,0.307,0.379,0.014,0.674,0.061,0.703
0.669,0.308,0.379,0.014,0.676,0.062,0.704
0.668,0.309,0.38,0.014,0.677,0.062,0.704
0.667,0.309,0.381,0.014,0.678,0.063,0.705
0.666,0.31,0.381,0.014,0.679,0.063,0.706
0.665,0.311,0.382,0.014,0.68,0.064,0.707
0.664,0.312,0.383,0.014,0.681,0.064,0.708
0.663,0.312,0.384,0.015,0.682,0.065,0.709
0.662,0.313,0.385,0.015,0.684,0.065,0.71
0.661,0.314,0.386,0.015,0.685,0.066,0.71
0.66,0.315,0.387,0.015,0.686,0.066,0.711
0.659,0.316,0.388,0.015,0.688,0.067,0.712
0.658,0.317,0.388,0.015,0.689,0.068,0.713
0.657,0.318,0.389,0.016,0.69,0.068,0.714
0.656,0.319,0.39,0.016,0.692,0.069,0.714
0.655,0.32,0.391,0.016,0.693,0.069,0.715
0.654,0.321,0.392,0.016,0.694,0.07,0.716
0.653,0.322,0.393,0.016,0.696,0.071,0.717
0.652,0.322,0.394,0.016,0.697,0.071,0.717
0.651,0.323,0.394,0.016,0.698,0.072,0.718
0.65,0.324,0.395,0.017,0.7,0.072,0.719
0.649,0.325,0.396,0.017,0.701,0.073,0.72
0.648,0.326,0.397,0.017,0.702,0.074,0.72
0.647,0.327,0.398,0.017,0.703,0.074,0.721
0.646,0.328,0.398,0.017,0.704,0.075,0.722
0.645,0.328,0.399,0.017,0.705,0.075,0.723
0.644,0.329,0.4,0.017,0.707,0.076,0.723
0.643,0.33,0.401,0.018,0.708,0.077,0.724
0.642,0.331,0.402,0.018,0.709,0.078,0.725
0.641,0.332,0.403,0.018,0.71,0.078,0.725
0.64,0.333,0.404,0.018,0.711,0.079,0.726
0.639,0.334,0.405,0.018,0.712,0.079,0.727
0.638,0.334,0.406,0.019,0.713,0.08,0.728
0.637,0.335,0.407,0.019,0.715,0.08,0.728
0.636,0.336,0.408,0.019,0.716,0.081,0.729
0.635,0.337,0.408,0.019,0.717,0.082,0.73
0.634,0.338,0.409,0.019,0.718,0.082,0.73
0.633,0.339,0.41,0.019,0.719,0.083,0.731
0.632,0.34,0.411,0.02,0.72,0.083,0.732
0.631,0.34,0.412,0.02,0.721,0.084,0.733
0.63,0.341,0.413,0.02,0.723,0.084,0.734
0.629,0.342,0.414,0.02,0.724,0.085,0.734
0.628,0.343,0.414,0.02,0.725,0.086,0.735
0.627,0.344,0.415,0.02,0.726,0.086,0.736
0.626,0.345,0.416,0.021,0.728,0.087,0.736
0.625,0.346,0.417,0.021,0.729,0.087,0.737
0.624,0.347,0.417,0.021,0.73,0.088,0.738
0.623,0.348,0.418,0.021,0.732,0.088,0.738
0.622,0.348,0.419,0.022,0.733,0.089,0.739
0.621,0.349,0.42,0.022,0.734,0.089,0.74
0.62,0.35,0.421,0.022,0.735,0.09,0.74
0.619,0.351,0.422,0.022,0.737,0.091,0.741
0.618,0.352,0.423,0.022,0.738,0.091,0.742
0.617,0.353,0.424,0.022,0.74,0.092,0.742
0.616,0.354,0.424,0.023,0.741,0.093,0.743
0.615,0.355,0.425,0.023,0.743,0.093,0.743
0.614,0.355,0.426,0.023,0.744,0.094,0.744
0.613,0.356,0.427,0.023,0.745,0.095,0.745
0.612,0.357,0.427,0.024,0.747,0.095,0.746
0.611,0.358,0.428,0.024,0.749,0.096,0.746
0.61,0.359,0.429,0.024,0.751,0.096,0.747
0.609,0.36,0.43,0.024,0.752,0.097,0.748
0.608,0.36,0.43,0.025,0.754,0.097,0.748
0.607,0.361,0.431,0.025,0.756,0.098,0.749
0.606,0.362,0.432,0.025,0.757,0.099,0.75
0.605,0.363,0.433,0.026,0.759,0.1,0.751
0.604,0.364,0.434,0.026,0.76,0.1,0.751
0.603,0.365,0.434,0.026,0.762,0.101,0.752
0.602,0.366,0.435,0.026,0.763,0.102,0.753
0.601,0.366,0.436,0.027,0.765,0.103,0.754
0.6,0.367,0.437,0.027,0.766,0.103,0.755
0.599,0.368,0.438,0.027,0.768,0.104,0.756
0.598,0.369,0.438,0.028,0.769,0.105,0.756
0.597,0.37,0.439,0.028,0.771,0.106,0.757
0.596,0.37,0.44,0.028,0.772,0.106,0.758
0.595,0.371,0.441,0.029,0.773,0.107,0.759
0.594,0.372,0.441,0.029,0.774,0.108,0.759
0.593,0.373,0.442,0.029,0.776,0.109,0.76
0.592,0.374,0.443,0.03,0.777,0.11,0.761
0.591,0.375,0.443,0.03,0.779,0.11,0.762
0.59,0.376,0.444,0.03,0.781,0.111,0.763
