,LIPNet,LIPNet,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred,AIUPred,AIUPred
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.888,60183.0,7655.0,25824.0,5577.0,67691.0,147.0,24753.0,6648.0,67548.0,204.0,19686.0,11680.0
0.887,60124.0,7714.0,25793.0,5608.0,67691.0,147.0,24551.0,6850.0,67544.0,208.0,19579.0,11787.0
0.886,60048.0,7790.0,25761.0,5640.0,67689.0,149.0,24392.0,7009.0,67538.0,214.0,19501.0,11865.0
0.885,59972.0,7866.0,25729.0,5672.0,67689.0,149.0,24239.0,7162.0,67537.0,215.0,19427.0,11939.0
0.884,59901.0,7937.0,25679.0,5722.0,67687.0,151.0,24082.0,7319.0,67533.0,219.0,19349.0,12017.0
0.883,59845.0,7993.0,25648.0,5753.0,67685.0,153.0,23913.0,7488.0,67529.0,223.0,19261.0,12105.0
0.882,59777.0,8061.0,25614.0,5787.0,67685.0,153.0,23734.0,7667.0,67527.0,225.0,19181.0,12185.0
0.881,59715.0,8123.0,25579.0,5822.0,67683.0,155.0,23590.0,7811.0,67525.0,227.0,19085.0,12281.0
0.88,59655.0,8183.0,25548.0,5853.0,67683.0,155.0,23425.0,7976.0,67521.0,231.0,18992.0,12374.0
0.879,59584.0,8254.0,25511.0,5890.0,67682.0,156.0,23273.0,8128.0,67517.0,235.0,18920.0,12446.0
0.878,59521.0,8317.0,25485.0,5916.0,67680.0,158.0,23137.0,8264.0,67513.0,239.0,18841.0,12525.0
0.877,59460.0,8378.0,25445.0,5956.0,67678.0,160.0,22971.0,8430.0,67509.0,243.0,18757.0,12609.0
0.876,59389.0,8449.0,25414.0,5987.0,67678.0,160.0,22802.0,8599.0,67504.0,248.0,18683.0,12683.0
0.875,59340.0,8498.0,25385.0,6016.0,67677.0,161.0,22665.0,8736.0,67500.0,252.0,18609.0,12757.0
0.874,59286.0,8552.0,25352.0,6049.0,67676.0,162.0,22522.0,8879.0,67494.0,258.0,18524.0,12842.0
0.873,59221.0,8617.0,25318.0,6083.0,67673.0,165.0,22376.0,9025.0,67490.0,262.0,18453.0,12913.0
0.872,59152.0,8686.0,25278.0,6123.0,67673.0,165.0,22228.0,9173.0,67486.0,266.0,18384.0,12982.0
0.871,59082.0,8756.0,25234.0,6167.0,67673.0,165.0,22093.0,9308.0,67485.0,267.0,18314.0,13052.0
0.87,59022.0,8816.0,25199.0,6202.0,67673.0,165.0,21943.0,9458.0,67482.0,270.0,18237.0,13129.0
0.869,58945.0,8893.0,25165.0,6236.0,67672.0,166.0,21804.0,9597.0,67477.0,275.0,18178.0,13188.0
0.868,58870.0,8968.0,25128.0,6273.0,67671.0,167.0,21657.0,9744.0,67471.0,281.0,18095.0,13271.0
0.867,58800.0,9038.0,25085.0,6316.0,67668.0,170.0,21514.0,9887.0,67465.0,287.0,18007.0,13359.0
0.866,58730.0,9108.0,25049.0,6352.0,67668.0,170.0,21383.0,10018.0,67460.0,292.0,17940.0,13426.0
0.865,58663.0,9175.0,25022.0,6379.0,67668.0,170.0,21248.0,10153.0,67452.0,300.0,17876.0,13490.0
0.864,58601.0,9237.0,24995.0,6406.0,67668.0,170.0,21111.0,10290.0,67445.0,307.0,17811.0,13555.0
0.863,58528.0,9310.0,24970.0,6431.0,67667.0,171.0,20989.0,10412.0,67434.0,318.0,17729.0,13637.0
0.862,58459.0,9379.0,24940.0,6461.0,67667.0,171.0,20860.0,10541.0,67430.0,322.0,17670.0,13696.0
0.861,58390.0,9448.0,24914.0,6487.0,67667.0,171.0,20698.0,10703.0,67425.0,327.0,17602.0,13764.0
0.86,58330.0,9508.0,24877.0,6524.0,67667.0,171.0,20567.0,10834.0,67417.0,335.0,17536.0,13830.0
0.859,58252.0,9586.0,24840.0,6561.0,67666.0,172.0,20427.0,10974.0,67411.0,341.0,17483.0,13883.0
0.858,58192.0,9646.0,24798.0,6603.0,67666.0,172.0,20290.0,11111.0,67403.0,349.0,17425.0,13941.0
0.857,58139.0,9699.0,24760.0,6641.0,67666.0,172.0,20169.0,11232.0,67393.0,359.0,17357.0,14009.0
0.856,58084.0,9754.0,24725.0,6676.0,67666.0,172.0,20061.0,11340.0,67385.0,367.0,17301.0,14065.0
0.855,58020.0,9818.0,24682.0,6719.0,67664.0,174.0,19966.0,11435.0,67377.0,375.0,17237.0,14129.0
0.854,57942.0,9896.0,24645.0,6756.0,67663.0,175.0,19860.0,11541.0,67370.0,382.0,17178.0,14188.0
0.853,57882.0,9956.0,24610.0,6791.0,67662.0,176.0,19767.0,11634.0,67365.0,387.0,17118.0,14248.0
