predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
0.851,0.218,0.405,0.377,0.985,0.458,0.973
0.85,0.219,0.404,0.38,0.985,0.46,0.973
0.849,0.22,0.404,0.383,0.985,0.462,0.972
0.848,0.221,0.404,0.386,0.985,0.464,0.972
0.847,0.222,0.403,0.389,0.985,0.466,0.972
0.846,0.223,0.403,0.391,0.985,0.468,0.971
0.845,0.224,0.403,0.394,0.985,0.471,0.971
0.844,0.225,0.403,0.396,0.985,0.473,0.97
0.843,0.227,0.403,0.399,0.985,0.474,0.97
0.842,0.228,0.402,0.402,0.985,0.476,0.97
0.841,0.229,0.403,0.404,0.985,0.478,0.97
0.84,0.23,0.402,0.407,0.985,0.48,0.969
0.839,0.231,0.402,0.409,0.985,0.482,0.968
0.838,0.232,0.401,0.412,0.985,0.484,0.968
0.837,0.233,0.401,0.414,0.985,0.486,0.967
0.836,0.234,0.401,0.416,0.985,0.488,0.967
0.835,0.235,0.4,0.419,0.985,0.49,0.966
0.834,0.235,0.4,0.421,0.985,0.491,0.966
0.833,0.237,0.4,0.424,0.985,0.493,0.965
0.832,0.238,0.4,0.427,0.985,0.495,0.965
0.831,0.239,0.4,0.429,0.985,0.496,0.964
0.83,0.24,0.399,0.431,0.985,0.498,0.964
0.829,0.241,0.399,0.433,0.985,0.5,0.963
0.828,0.242,0.399,0.435,0.985,0.502,0.963
0.827,0.243,0.398,0.437,0.984,0.503,0.962
0.826,0.244,0.398,0.439,0.984,0.505,0.962
0.825,0.244,0.397,0.441,0.984,0.507,0.961
0.824,0.245,0.397,0.443,0.984,0.508,0.961
0.823,0.246,0.397,0.445,0.984,0.51,0.96
0.822,0.247,0.396,0.447,0.984,0.512,0.96
0.821,0.248,0.396,0.449,0.984,0.513,0.959
0.82,0.25,0.396,0.451,0.984,0.515,0.959
0.819,0.25,0.395,0.453,0.984,0.516,0.958
0.818,0.251,0.395,0.455,0.983,0.518,0.958
0.817,0.252,0.394,0.457,0.983,0.52,0.957
0.816,0.254,0.394,0.459,0.983,0.521,0.956
0.815,0.255,0.394,0.461,0.983,0.523,0.956
0.814,0.256,0.394,0.463,0.983,0.525,0.956
0.813,0.257,0.394,0.465,0.983,0.526,0.955
0.812,0.258,0.394,0.467,0.982,0.528,0.955
0.811,0.259,0.394,0.468,0.982,0.53,0.954
0.81,0.26,0.393,0.47,0.982,0.531,0.954
0.809,0.261,0.393,0.472,0.982,0.533,0.954
0.808,0.262,0.393,0.474,0.982,0.535,0.953
0.807,0.263,0.393,0.476,0.982,0.536,0.952
0.806,0.263,0.392,0.478,0.982,0.538,0.952
0.805,0.264,0.392,0.48,0.982,0.54,0.951
0.804,0.266,0.392,0.482,0.982,0.541,0.951
0.803,0.267,0.392,0.484,0.982,0.543,0.951
0.802,0.268,0.392,0.486,0.982,0.544,0.95
0.801,0.269,0.392,0.487,0.982,0.546,0.949
0.8,0.27,0.392,0.489,0.981,0.547,0.949
0.799,0.271,0.392,0.49,0.981,0.549,0.948
0.798,0.272,0.391,0.492,0.981,0.55,0.947
0.797,0.273,0.391,0.494,0.981,0.552,0.946
0.796,0.273,0.391,0.496,0.981,0.553,0.946
0.795,0.274,0.391,0.497,0.981,0.555,0.945
0.794,0.275,0.39,0.499,0.981,0.557,0.944
0.793,0.276,0.39,0.501,0.981,0.559,0.944
0.792,0.277,0.39,0.502,0.981,0.56,0.943
0.791,0.278,0.39,0.504,0.981,0.562,0.942
0.79,0.279,0.389,0.505,0.98,0.563,0.942
0.789,0.28,0.389,0.507,0.98,0.565,0.941
0.788,0.281,0.388,0.509,0.98,0.567,0.941
0.787,0.282,0.388,0.51,0.98,0.569,0.94
0.786,0.283,0.388,0.512,0.98,0.57,0.939
0.785,0.284,0.387,0.513,0.98,0.572,0.938
0.784,0.284,0.387,0.515,0.98,0.573,0.938
0.783,0.285,0.386,0.516,0.98,0.575,0.937
0.782,0.286,0.387,0.518,0.98,0.577,0.936
0.781,0.287,0.386,0.52,0.98,0.578,0.936
0.78,0.288,0.386,0.521,0.979,0.58,0.935
0.779,0.288,0.385,0.523,0.979,0.581,0.935
0.778,0.289,0.385,0.524,0.979,0.582,0.934
0.777,0.291,0.385,0.526,0.979,0.584,0.933
0.776,0.291,0.385,0.528,0.979,0.586,0.932
0.775,0.292,0.384,0.53,0.979,0.587,0.932
0.774,0.293,0.384,0.532,0.979,0.589,0.931
0.773,0.294,0.384,0.533,0.978,0.59,0.931
0.772,0.295,0.384,0.535,0.979,0.592,0.93
0.771,0.296,0.384,0.537,0.979,0.594,0.929
0.77,0.297,0.384,0.538,0.979,0.595,0.928
0.769,0.298,0.384,0.54,0.978,0.596,0.928
0.768,0.299,0.384,0.541,0.978,0.598,0.927
0.767,0.3,0.383,0.542,0.978,0.599,0.927
0.766,0.3,0.383,0.544,0.978,0.6,0.926
0.765,0.301,0.383,0.546,0.978,0.602,0.925
0.764,0.303,0.383,0.548,0.978,0.604,0.924
0.763,0.304,0.383,0.549,0.978,0.605,0.922
0.762,0.304,0.382,0.551,0.978,0.607,0.922
0.761,0.305,0.382,0.552,0.978,0.608,0.921
0.76,0.306,0.382,0.554,0.977,0.609,0.92
0.759,0.307,0.382,0.555,0.977,0.611,0.92
0.758,0.308,0.381,0.557,0.977,0.612,0.919
0.757,0.309,0.381,0.559,0.977,0.613,0.918
0.756,0.309,0.381,0.561,0.977,0.615,0.918
0.755,0.31,0.38,0.562,0.977,0.616,0.917
0.754,0.311,0.38,0.563,0.977,0.617,0.916
0.753,0.312,0.38,0.565,0.977,0.618,0.915
0.752,0.314,0.38,0.566,0.977,0.62,0.915
0.751,0.314,0.38,0.568,0.976,0.621,0.914
0.75,0.315,0.38,0.569,0.976,0.622,0.913
0.749,0.316,0.379,0.57,0.976,0.623,0.912
0.748,0.317,0.379,0.571,0.976,0.624,0.912
0.747,0.318,0.379,0.572,0.976,0.626,0.911
0.746,0.318,0.379,0.574,0.976,0.627,0.91
0.745,0.319,0.379,0.575,0.975,0.629,0.91
0.744,0.32,0.378,0.577,0.975,0.63,0.909
0.743,0.321,0.378,0.578,0.975,0.632,0.908
0.742,0.322,0.378,0.58,0.975,0.633,0.908
0.741,0.323,0.377,0.581,0.975,0.634,0.907
0.74,0.323,0.377,0.582,0.975,0.636,0.906
0.739,0.324,0.377,0.584,0.975,0.637,0.905
0.738,0.325,0.377,0.585,0.975,0.638,0.904
0.737,0.326,0.377,0.587,0.975,0.639,0.904
0.736,0.327,0.376,0.588,0.974,0.64,0.903
0.735,0.327,0.376,0.59,0.974,0.641,0.902
0.734,0.328,0.376,0.591,0.974,0.642,0.901
0.733,0.329,0.376,0.592,0.974,0.644,0.901
0.732,0.33,0.375,0.593,0.974,0.645,0.9
0.731,0.331,0.375,0.595,0.974,0.646,0.9
0.73,0.332,0.375,0.596,0.973,0.647,0.899
0.729,0.333,0.375,0.597,0.973,0.648,0.898
